Url,Title,Purpose,Property_Price,District,Ad_Age_Date,Use Type
https://wasalt.sa/property/sale/شقة-ب-5-غرف-5807632,شقة ب 5 غرف,للبيع,"1,800,000",حطين,2025-11-21,سكني
https://wasalt.sa/property/sale/شقة-ب-4-غرف-5806858,شقة ب 4 غرف,للبيع,"1,500,000",الملقا,2025-11-20,سكني
https://wasalt.sa/property/sale/فيلا-300-متر-مربع-جنوبية-على-شارع-20م-5802898,فيلا 300 متر مربع جنوبية على شارع 20م,للبيع,"3,850,000",الملقا,2025-11-13,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5802819,شقة ب 3 غرف,للبيع,"1,350,000",الياسمين,2025-11-13,سكني
https://wasalt.sa/property/sale/فيلا-325-متر-مربع-شمالية-على-شارع-14م-5801261,فيلا 325 متر مربع شمالية على شارع 14م,للبيع,"3,600,000",الياسمين,2025-11-12,سكني
https://wasalt.sa/property/sale/فيلا-4800-متر-مربع-شمالية-على-شارع-12م-5799937,فيلا 4800 متر مربع شمالية على شارع 12م,للبيع,"3,775,000",الياسمين,2025-11-07,سكني
https://wasalt.sa/property/sale/فيلا-4800-متر-مربع-شمالية-على-شارع-12م-5799972,فيلا 4800 متر مربع شمالية على شارع 12م,للبيع,"3,775,000",الياسمين,2025-11-07,سكني
https://wasalt.sa/property/sale/فيلا-4800-متر-مربع-شمالية-على-شارع-12م-5799996,فيلا 4800 متر مربع شمالية على شارع 12م,للبيع,"2,240,000",الياسمين,2025-11-07,سكني
https://wasalt.sa/property/sale/فيلا-377-متر-مربع-شمالية-على-شارع-14م-5812672,فيلا 377 متر مربع شمالية على شارع 14م,للبيع,"3,500,000",الياسمين,2025-12-02,سكني
https://wasalt.sa/property/sale/فيلا-300-متر-مربع-شمالية-على-شارع-15م-5812822,فيلا 300 متر مربع شمالية على شارع 15م,للبيع,"3,800,000",الياسمين,2025-12-02,سكني
https://wasalt.sa/property/sale/فيلا-3125-متر-مربع-جنوبية-على-شارع-15م-5810276,فيلا 312.5 متر مربع جنوبية على شارع 15م,للبيع,"5,000,000",عرقة,2025-11-26,سكني
https://wasalt.sa/property/sale/فيلا-325-متر-مربع-غربية-على-شارع-15م-5803103,فيلا 325 متر مربع غربية على شارع 15م,للبيع,"3,500,000",الياسمين,2025-11-14,سكني
https://wasalt.sa/property/sale/فيلا-377-متر-مربع-شمالية-على-شارع-15م-5803029,فيلا 377 متر مربع شمالية على شارع 15م,للبيع,"8,000,000",الياسمين,2025-11-14,سكني
https://wasalt.sa/property/sale/فيلا-360-متر-مربع-غربية-على-شارع-18م-5803017,فيلا 360 متر مربع غربية على شارع 18م,للبيع,"5,000,000",الملقا,2025-11-14,سكني
https://wasalt.sa/property/sale/فيلا-325-متر-مربع-شمالية-على-شارع-15م-5800107,فيلا 325 متر مربع شمالية على شارع 15م,للبيع,"3,100,000",الياسمين,2025-11-08,سكني
https://wasalt.sa/property/sale/فيلا-4800-متر-مربع-شمالية-على-شارع-12م-5799988,فيلا 4800 متر مربع شمالية على شارع 12م,للبيع,"2,200,000",الياسمين,2025-11-07,سكني
https://wasalt.sa/property/sale/فيلا-4800-متر-مربع-شمالية-على-شارع-12م-5799987,فيلا 4800 متر مربع شمالية على شارع 12م,للبيع,"2,200,000",الياسمين,2025-11-07,سكني
https://wasalt.sa/property/sale/فيلا-4800-متر-مربع-شمالية-على-شارع-12م-5799992,فيلا 4800 متر مربع شمالية على شارع 12م,للبيع,"2,240,000",الياسمين,2025-11-07,سكني
https://wasalt.sa/property/sale/فيلا-4800-متر-مربع-شمالية-على-شارع-12م-5799990,فيلا 4800 متر مربع شمالية على شارع 12م,للبيع,"2,240,000",الياسمين,2025-11-07,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5810583,شقة ب 3 غرف,للبيع,"1,400,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/أرض-4950-متر-مربع-شمالية-غربية-على-شارع-60م-5812403,أرض 4950 متر مربع شمالية غربية على شارع 60م,للبيع,"71,775,000",الملقا,2025-11-30,سكني
https://wasalt.sa/property/sale/فيلا-30416-متر-مربع-غربية-على-شارع-15م-5813559,فيلا 304.16 متر مربع غربية على شارع 15م,للبيع,"3,950,000",عرقة,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5805497,شقة ب 3 غرف,للبيع,"950,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/فيلا-900-متر-مربع-شمالية-على-شارع-15م-5805503,فيلا 900 متر مربع شمالية على شارع 15م,للبيع,"9,000,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/أرض-103782-متر-مربع-شمالية-غربية-على-شارع-12م-5801102,أرض 1037.82 متر مربع شمالية غربية على شارع 12م,للبيع,"4,607,920",عرقة,2025-11-28,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5801131,شقة ب 3 غرف,للبيع,"1,725,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5802063,شقة ب 3 غرف,للبيع,"1,685,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-بغرفتين-5801155,شقة بغرفتين,للبيع,"1,450,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-بغرفتين-5803554,شقة بغرفتين,للبيع,"1,850,000",حطين,2025-12-02,سكني
